County,CDSCode,School ,Street,City,State,Zip,Telephone,PublicDistrict
Los Angeles,19645686907224,Chamlian Armenian School,4444 Lowell Avenue,Glendale,CA,91214,818-957-3398,Glendale Unified
Los Angeles,19648816977490,Chandler School,1005 Armada Drive,Pasadena,CA,91103,626-795-9314,Pasadena Unified
Los Angeles,19647336905533,Chatsworth Hills Academy,21523 Rinaldi Street,Chatsworth,CA,91311,818-998-4037,Los Angeles Unified
Los Angeles,19647337084502,Cheder Menachem,1606 South La Cienega Boulevard,Los Angeles,CA,90035,310-623-1470,Los Angeles Unified
Los Angeles,19647337082019,Cheder of Los Angeles,801 North La Brea Avenue,Los Angeles,CA,90038,323-935-9274,Los Angeles Unified
Los Angeles,19644516133524,Children's Academy of Success,10839 La Reina Avenue,Downey,CA,90241,310-995-3371,Los Angeles
Los Angeles,19646347087075,Children's Enrichment Center - Artes de Montessori,3209 West Manchester Boulevard,Inglewood,CA,90305,323-750-4990,Inglewood Unified
Los Angeles,19650606206734,Children's Place Montessori The,1625 Crenshaw Boulevard,Torrance,CA,90501,310-782-9634,Torrance Unified
Los Angeles,19647336139117,Child's World School,5414 Capistrano Avenue,Woodland Hills,CA,91367,818-224-4040,Los Angeles Unified
Los Angeles,19647336961585,Child's World School,6100 Lindley Avenue,Encino,CA,91316,818-343-8122,Los Angeles Unified
Los Angeles,19752917078520,Christ Centered Pasadena Christian School,204 Pearl Street,San Gabriel,CA,91776,626-614-0815,San Gabriel Unified
Los Angeles,19643037097082,Christ Heritage Academy,10248 Alondra Boulevard,Bellflower,CA,90706,562-867-8084,Bellflower
Los Angeles,19647336960942,Christ Lutheran Church and School,28850 South Western Avenue,Rancho Palos Verdes,CA,90275,310-831-0848,Los Angeles Unified
Los Angeles,19644366967871,Christ Lutheran Elementary,311 South Citrus Street,West Covina,CA,91791,626-967-7531,Covina-Valley Unified
Los Angeles,19647336960959,Christ the King Elementary,617 North Arden Boulevard,Los Angeles,CA,90004,323-462-4753,Los Angeles Unified
Los Angeles,19642797072101,Christbridge Academy,405 South Azusa Avenue,Azusa,CA,91702,626-969-7400,Azusa Unified
Los Angeles,19647336979553,Christian New Life Academy,2302 132nd Street,Los Angeles,CA,90059,310-528-3254,Compton
Los Angeles,19753336145197,Circle of Love,1100 North Poinsettia Avenue,Manhattan Beach,CA,90266,310-545-5653,Manhattan Beach Unified
Los Angeles,19643947087141,City of Knowledge,3285 North Garey Avenue,Pomona,CA,91767,909-392-0251,Claremont Unified
Los Angeles,19649646967889,Clairbourn School,8400 Huntington Drive,San Gabriel,CA,91775,626-286-3108,San Marino Unified
Los Angeles,19647337026230,Cleophas Oliver Learning Academy,4449 West Adams,Los Angeles,CA,90016,323-737-6803,los angeles
Los Angeles,19647337092992,Cleophas Oliver Learning Academy,1902 West Florence,Los Angeles,CA,90047,323-751-3906,los angeles
Los Angeles,19647337067689,Coastal Academy,22501 Oak Avenue,Lomita,CA,90717,310-644-0433,Los Angeles Unified
Los Angeles,19647330115824,Coldwater Canyon Prep,6455 Coldwater Canyon Avenue,Valley Glen,CA,91606,818-623-6387,LAUSD
Los Angeles,19647337072747,Communion Christian Academy,6201 South La Brea Avenue,Los Angeles,CA,90056,323-296-8761,lausd
Los Angeles,19647336935175,Concordia Junior/Senior High School,13570 Eldridge Avenue,Sylmar,CA,91342,818-362-5861,Los Angeles Unified School District
Los Angeles,19647336963037,Concordia School - Granada Hills,16603 San Fernando Mission Boulevard,Granada Hills,CA,91344,818-368-0892,Los Angeles Unified
Los Angeles,19647336132757,Cornerstone Academy of Los Angeles,2132 Hyperion Avenue,Los Angeles,CA,90027,323-663-4703,Los Angeles Unified
Los Angeles,19649987080153,Cornerstone Christian,17649 Scherzinger Lane,Santa Clarita,CA,91387,661-251-9732,Sulphur Springs Union
Los Angeles,19647336201883,Cornerstone Christian Academy,11031 Yolanda Avenue,Northridge,CA,91326,818-366-8655,Los Angeles Unified
Los Angeles,19647336960983,Corpus Christi Elementary,890 Toyopa Drive,Pacific Palisades,CA,90272,310-454-9411,Los Angeles Unified
Los Angeles,19647336979165,Country School The,5243 Laurel Canyon Boulevard,Valley Village,CA,91607,818-769-2473,Los Angeles Unified
Los Angeles,19647336934616,Coutin School LLC,7119 Owensmouth Avenue,Canoga Park,CA,91303,818-992-0301,Los Angeles Unified
Los Angeles,19651027103260,Covenant Christian,2013 Clearwater Avenue,Palmdale,CA,93551,661-274-8285,Palmdale Elementary
Los Angeles,19647336203319,Crane Academy of Excellence,23119 Vose Street,West Hills,CA,91307,818-716-7220,Los Angeles Unified
Los Angeles,19647337095342,Crawford Academy The,14530 Sylvan Street,Van Nuys,CA,91411,818-909-5265,Los Angeles Unified
Los Angeles,,Creative Abilities Special Academy,16220 Temple Avenue,City of Industry,CA,91744,626-252-6686,Hacienda La Puente Unified
Los Angeles,19644516206759,Creative Beginnings,8033 East 3rd Street,Downey,CA,90241,562-861-1499,Downey Unified
Los Angeles,19647336143523,Creative Center for Children,10547 Santa Monica Boulevard,Los Angeles,CA,90025,310-475-9004,Los Angeles Unified
Los Angeles,19642957023187,Creative Corners,13628 Lomitas Avenue,Avocado Heights,CA,91746,626-330-3725,Hacienda la Puente Unified
Los Angeles,19643036926505,Creative Day Academy,8740 Ramona Street,Bellflower,CA,90706,562-634-7527,Bellflower Unified
Los Angeles,19753336139075,Creative Kids,1203 North Sepulveda Boulevard,Manhattan Beach,CA,90266,310-546-6540,Manhattan Beach Unified
Los Angeles,19647337092786,Crenshaw Tot Academy,5148 Crenshaw Boulevard,Los Angeles,CA,90043,323-702-3543,LAUSD
Los Angeles,19647336977607,Crescenta Valley Adventist School,6245 Honolulu Avenue,La Crescenta,CA,91214,818-249-1504,Los Angeles Unified
Los Angeles,19647336934632,Crespi Carmelite High,5031 Alonzo Avenue,Encino,CA,91316,818-345-1672,Los Angeles Unified
Los Angeles,19646596990618,Crestview Preparatory School,140 Foothill Boulevard,La Canada,CA,91011,818-952-0925,La Canada Unified School District
Los Angeles,19647337100548,Cristo Viene Christian School,3607 Whittier Boulevard,Los Angeles,CA,90023,818-583-7236,Los Angeles Unified
Los Angeles,19649806934657,Crossroads School for Arts and Sciences,1714 21st Street,Santa Monica,CA,90404,310-829-7391,Santa Monica-Malibu Unified
Los Angeles,19644446929194,Culver City Christian School,11312 West Washington Boulevard,Los Angeles,CA,90066,310-391-6963,Culver City
Los Angeles,19647336983167,Curtis School,15871 Mulholland Drive,Los Angeles,CA,90049,310-476-1251,Los Angeles Unified
Los Angeles,19647336144497,Damascus Road Academy,9338 Swinton Avenue,North Hills,CA,91343,818-438-4152,Los Angeles Unified
Los Angeles,19643296934665,Damien High School,2280 Damien Avenue,La Verne,CA,91750,909-596-1946,Bonita Unified
Los Angeles,,Darko LA,1520 South Robertson Boulevard,Los Angeles,CA,90035,323-244-4136,Los Angeles Unified
Los Angeles,19642460112938,Day Star Learning Center,646 West Lancaster Boulevard Suite 105,Lancaster,CA,93534,661-945-7290,Antelope Valley Union High
Los Angeles,19647336203400,DC Academy,2301 Bellevue Avenue,Los Angeles,CA,90026,213-273-7025,LAUSD
Los Angeles,19647336982748,De La Salle,16535 Chatsworth Street,Granada Hills,CA,91344,818-363-2270,Los Angeles Unified
Los Angeles,,Del Rey Parochial Academy,8505 Saran Drive,Playa del Rey,CA,90293,310-823-4275,Los Angeles Unified
Los Angeles,19753336925697,del Sol/Via Pacifica,1700 Manhattan Beach Boulevard,Manhattan Beach,CA,90266,310-376-1223,Manhattan Beach Unified
Los Angeles,19647336953988,Delphi Academy of Los Angeles,11341 Brainard Avenue,Lake View Terrace,CA,91342,818-583-1070,Los Angeles Unified
Los Angeles,19649806203749,Delphi Academy of Santa Monica,1229 4th Street,Santa Monica,CA,90401,310-526-2700,Santa Monica-Malibu Unified
Los Angeles,19646676901110,Desert Christian Schools,44662 15th Street West,Lancaster,CA,93534,661-948-5071,Lancaster Elementary
Los Angeles,19646677077837,Desert Montessori Academy,44503 Fern Avenue,Lancaster,CA,93534,661-942-0218,Lancaster Elementary
Los Angeles,19647336139125,Discovery School,18719 Topham Street,Tarzana,CA,91335,818-881-9707,Los Angeles Unified
Los Angeles,19734607071087,Discovery World Montessori,801 Brea Canyon Road,Diamond Bar,CA,91789,909-598-5540,Walunt School District
Los Angeles,19647336977706,Divine Providence Day Nursery and Kindergarten,2620 Monmouth Avenue,Los Angeles,CA,90007,213-747-3074,Los Angeles Unified
Los Angeles,19647336961015,Divine Saviour,624 Cypress Avenue,Los Angeles,CA,90065,323-222-6077,Los Angeles Unified
Los Angeles,19647336961023,Dolores Mission,170 South Gless Street,Los Angeles,CA,90033,323-881-0001,Los Angeles Unified
Los Angeles,19648086914477,Don Bosco Technical Institute,1151 San Gabriel Boulevard,Rosemead,CA,91770,626-940-2000,Montebello Unified
Los Angeles,19647336996664,Donna Ro,4946 West 20th Street,Los Angeles,CA,90016,323-938-5995,LOS ANGELES  UNIFIED
Los Angeles,19643296986244,Dove Day School Educational Programs Inc.,908 West Arrow Highway,San Dimas,CA,91773,909-599-2299,Bonita Unified
Los Angeles,19644516201990,Downey Christian School,10335 Paramount Boulevard,Downey,CA,90241,562-927-7540,Downey Unified
Los Angeles,19644696960322,Duarte Montessori School Inc.,1640 East 3rd Street,Duarte,CA,91010,626-303-2616,Duarte
Los Angeles,19647336934707,Dubnoff Center for Child Development,15314 Rayen Street,North Hills,CA,91343,818-893-4750,Los Angeles Unified
Los Angeles,19648656135958,Dunn Academy,28717 Seamount Drive,Rancho Palos Verdes,CA,90275,310-567-2228,Palos Verdes Peninsula Unified
Los Angeles,19644367078173,Eagle Academy,3430 East Acridge Drive,West Covina,CA,91791,626-332-9456,Covina Valley
Los Angeles,19648576146120,Eagle Vision Christian Schools- Preparatory,2320 East Avenue R,Palmdale,CA,93550,661-267-0411,Palmdale Elementary
Los Angeles,19647336140743,East Beverly High School,672 South Lafayette Park Place Suite 15,Los Angeles,CA,90057,213-389-3319,Los Angeles Unified
Los Angeles,19647337093297,East Valley Academy,20206 Londelius Street,Winnetka,CA,91306,818-727-9556,Los Angeles Unified
Los Angeles,19642876977748,East Valley Adventist,3554 Maine Avenue,Baldwin Park,CA,91706,626-960-4751,Baldwin Park Unified
Los Angeles,19644446934715,ECF Kayne ERAS Center,5350 Machado Road,Culver City,CA,90230,310-737-9393,Culver City Unified
Los Angeles,19644446994966,Echo Center,3430 McManus Avenue,Culver City,CA,90232,310-838-2442,Culver City Unified
Los Angeles,19644446926638,Echo Horizon,3430 McManus Avenue,Culver City,CA,90232,310-838-2442,Culver City Unified
Los Angeles,19647336977771,Egremont Schools Inc.,19850 Devonshire Street,Chatsworth,CA,91311,818-363-7803,Los Angeles Unified
Los Angeles,19648576206189,EIL Excellence In Learning,36509 Jenna Lane,Palmdale,CA,93550,661-267-6414,Palmdale Elementary
Los Angeles,19734376934723,Eko Multi-Purpose Center,403 South Santa Fe Avenue,Compton,CA,90224,310-537-9083,Compton
Los Angeles,19645017030208,El Monte Christian Academy,11129 Brockway Avenue,El Monte,CA,91731,626-442-4269,El Monte City
Los Angeles,19645687096662,Elliott Institute Inc.,2506 Foothill Boulevard,La Crescenta,CA,91214,818-236-3603,glendale
Los Angeles,19647336961049,Emek Hebrew AcademyTeichman Family Torah Center,15365 Magnolia Boulevard,Sherman Oaks,CA,91403,818-783-3663,Los Angeles Unified
Los Angeles,19647336201818,Emerson Academy for Arts and Sciences,12749 Ventura Boulevard,Studio City,CA,91604,818-761-4898,Los Angeles Unified
Los Angeles,19650786961056,Epiphany Catholic,10915 Michael Hunt Drive,South El Monte,CA,91733,626-442-6264,Valle Lindo Elementary
Los Angeles,19647907080864,Excellence In Education Academy,2640 South Myrtle Avenue,Monrovia,CA,91016,626-821-0025,Monrovia Unified
Los Angeles,19648816959134,Excelsior School,1539 East Howard Street,Pasadena,CA,91104,626-398-2388,Pasadena Unified
Los Angeles,19642466130132,Fabunni Private School Inc.,4738 West Avenue J3,Lancaster,CA,93536,661-945-1040,Antelope Valley Union High
Los Angeles,19647337092521,Fairhaven Christian Academy,10438 Oro Vista Avenue,Sunland,CA,91040,818-434-7533,Los Angeles Unified
Los Angeles,19734526924773,Fairway Education Center,19560 Walnut Drive South,Rowland Heights,CA,91748,909-869-5965,Rowland Unified
Los Angeles,19647336934798,Faith Baptist,7644 Farralone Avenue,Canoga Park,CA,91304,818-340-6131,Los Angeles Unified
Los Angeles,19647336146039,Faith Christian School PSP,28073 Braidwood Drive,Rancho Palos Verdes,CA,90275,424-206-9598,Los Angeles Unified
Los Angeles,19644366143762,Firm Foundation Christian Academy,541 South Aldenville Avenue,Covina,CA,91723,626-938-1199,Covina-Valley Unified
Los Angeles,19647257036833,First Baptist Church School,1000 Pine Avenue,Long Beach,CA,90813,562-432-8447,Long Beach Unified
Los Angeles,19650606967921,First Lutheran,2900 West Carson Street,Torrance,CA,90503,310-320-9920,Torrance Unified
Los Angeles,19645686996698,First Lutheran School,1300 East Colorado Street,Glendale,CA,91205,818-244-7319,Glendale Unified
Los Angeles,19647336996706,First Presbyterian Church of Granada Hill,10400 Zelzah Avenue,Northridge,CA,91326,818-368-7254,Los Angeles Unified
Los Angeles,19757137090962,First Presbyterian School,101 S Atlantic Boulevard,Alhambra,CA,91801,626-282-9936,Alhambra Unified
Los Angeles,19647337084320,First United Methodist Church/Glenoaks Elementary School,1525 Glenoaks Boulevard,San Fernando,CA,91340,818-365-1513,Los Angeles Unified
Los Angeles,19648816917199,Five Acres,760 West Mountain View Street,Altadena,CA,91001,626-798-6793,Pasadena Unified
Los Angeles,19646597089220,Flintridge Montessori School,1739 Foothill Boulevard,La Canada,CA,91011,818-790-8844,La Canada Unified
Los Angeles,19646596934822,Flintridge Preparatory School,4543 Crown Avenue,La Canada,CA,91011,818-790-1178,La Canada Unified
Los Angeles,19646596934830,Flintridge Sacred Heart Academy,440 St. Katherine Drive,La Canada,CA,91011,626-685-8300,La Canada Unified
Los Angeles,19645767037252,Foothill Christian,242 West Baseline Road,Glendora,CA,91740,626-914-1849,Glendora Unified
Los Angeles,19643946967939,Foothill Country Day School,1035 West Harrison Avenue,Claremont,CA,91711,909-626-5681,Claremont Unified
Los Angeles,19646596942239,Foothill Progressive Montessori Schools,4526 Indianola Way,La Canada,CA,91011,818-952-0129,La Canada Unified
Los Angeles,19648407088057,Foundation Christian School,14901 Adelfa Drive Number 1840,La Mirada,CA,90637,562-345-5000,Norwalk-La Mirada Unified
Los Angeles,19650296140420,Free World U,1673 Via Del Rey,South Pasadena,CA,91030,228-202-1471,South Pasadena Unified
Los Angeles,19648816204077,Friends Western School,524 East Orange Grove Boulevard,Pasadena,CA,91104,626-817-2481,Pasadena Unified
Los Angeles,19647336144380,Fusion Academy,825 Colorado Boulevard Suite 118,Los Angeles,CA,90041,323-258-2012,Los Angeles Unified
Los Angeles,19647336141675,Fusion Academy,21650 Oxnard Street Suite 100,Woodland Hills,CA,91367,818-712-9521,Los Angeles Unified
Los Angeles,19647336141667,Fusion Academy,1601 Pacific Coast Highway Suite 260,Hermosa Beach,CA,90254,310-376-5139,Manhattan Beach Unified
Los Angeles,19647336141345,Fusion Academy,1640 South Sepulveda Boulevard Number 100,Los Angeles,CA,90025,310-445-2516,Los Angeles Unified
Los Angeles,34674476144075,Gabriele Academy International,3966 West 6th Street Number 9,Los Angeles,CA,90020,916-458-0443,Los Angeles Unified
Los Angeles,19647336912851,Gan Israel Hebrew,18181 Burbank Boulevard,Tarzana,CA,91356,818-758-3838,Los Angeles Unified
Los Angeles,19649806911036,Garden of Angels School,1009 18th Street,Santa Monica,CA,90403,310-453-4680,Santa Monica-Malibu Unified
Los Angeles,19647336990691,Gardena Christian Academy,16311 South Western Avenue,Gardena,CA,90247,310-527-0348,Los Angeles Unified
Los Angeles,19647336967947,Gardena Valley Christian,1473 West 182nd Street,Gardena,CA,90248,310-327-4987,Los Angeles Unified
Los Angeles,19647256910913,Gethsemane Baptist Christian,6095 Orange Avenue,Long Beach,CA,90805,562-422-4206,Long Beach Unified
Los Angeles,19647257079221,Giant Steps Children's Center,6951 Obispo Avenue,Long Beach,CA,90805,562-633-5700,Long Beach Unified
Los Angeles,19645686934855,Glendale Adventist Academy,700 Kimlin Drive,Glendale,CA,91206,818-244-8671,Glendale Unified
Los Angeles,19645686997654,Glendale Montessori Elementary School,1212 North Pacific,Glendale,CA,91202,818-243-5172,Glendale
Los Angeles,19645686986327,Glendale Montessori School,413 West Doran Street,Glendale,CA,91203,818-240-9415,Glendale Unified
Los Angeles,19643116960868,Good Shepherd Catholic School,148 South Linden Drive,Beverly Hills,CA,90212,310-275-8601,Beverly Hills Unified
Los Angeles,19647336979686,Good Shepherd Lutheran,6338 North Figueroa,Los Angeles,CA,90042,323-255-2786,Los Angeles Unified
Los Angeles,19648816997548,Gooden School The,192 North Baldwin Avenue,Sierra Madre,CA,91024,626-355-2410,Pasadena Unified
Los Angeles,19647337072556,Grace Christian Academy,6510 Peach Avenue,Van Nuys,CA,91406,818-913-0471,Los Angeles Unified
Los Angeles,19646676967970,Grace Lutheran Elementary,856 West Newgrove Street,Lancaster,CA,93534,661-948-1018,Lancaster
Los Angeles,19645766136311,Grace Lutheran Preschool and Kindergarten,804 East Foothill Boulevard,Glendora,CA,91741,626-335-8413,Glendora Unified
Los Angeles,19647336143770,Great Expectations Development Inc.,15530 Tuba Street,Mission Hills,CA,91345,818-471-8488,Mission Hills
Los Angeles,19647336979694,Green Gables,8217 Winnetka Avenue,Winnetka,CA,91306,818-341-6821,lausd
Los Angeles,19647337093081,Green Pastures Cultivation Academy,8237 Soledad Canyon Road,Acton,CA,93510,213-381-1004,Acton-Agua Dulce Unified
Los Angeles,19647336134522,Green School of Hollywood,1547 North McCadden Place,Los Angeles,CA,90028,323-219-2725,LAUSD
Los Angeles,19647336962260,Guardian Angel Elementary,10919 Norris Avenue,Pacoima,CA,91331,818-896-1113,LAUSD
Los Angeles,,Hadley,11703 East Hadley Street,Whittier,CA,90601,562-699-0539,Whittier City Elementary
Los Angeles,19647336145965,Halstrom Academy-Brentwood,12300 Wilshire Suite 110,Los Angeles,CA,90025,310-818-4731,Los Angeles Unified
Los Angeles,19753336145973,Halstrom Academy-Manhattan Beach,3601 Aviation Boulevard Suite 2100,Manhattan Beach,CA,90266,310-409-2982,Manhattan Beach Unified
Los Angeles,19647336145718,Halstrom Academy-Woodland Hills,21800 Oxnard Street Number 270,Woodland Hills,CA,91367,818-824-6533,Los Angeles Unified
Los Angeles,19642206986350,Happy Day School,507 North Chandler Avenue,monterey park,CA,91754,626-282-2919,alhambra city
Los Angeles,19648817089162,Harambee Preparatory,1609 Navarro,Pasadena,CA,91103,626-798-7431,Pasadena Unified
Los Angeles,19647336935498,Harbor Church Schools,1716 West 254th Street,Lomita,CA,90717,310-534-8278,Los Angeles Unified
Los Angeles,19647336146187,Harbor Gateway Prep Academy,14501 South Broadway Street Unit 115,Los Angeles,CA,90248,310-538-5508,Los Angeles Unified
Los Angeles,19643116962286,Harkham Hillel Hebrew Academy,9120 West Olympic Boulevard,Beverly Hills,CA,90212,310-276-6135,Beverly Hills Unified
Los Angeles,19647336936256,Harvard-Westlake,700 North Faring Road,Los Angeles,CA,90077,310-274-7281,Los Angeles Unified
Los Angeles,19647336934871,Harvard-Westlake,3700 Coldwater Canyon Avenue,Studio City,CA,91604,818-980-6692,Los Angeles Unified
Los Angeles,19648816936033,Hathaway-Sycamores NPS El Nido,2933 North El Nido Drive,Altadena,CA,91001,626-395-7100,Pasadena Unified
Los Angeles,19643526909006,Hawthorne Academy,12500 Ramona Avenue,Hawthorne,CA,90250,310-644-8841,Centinela Valley Union High School District
Los Angeles,19647336979538,Heart of the Valley Christian School,18644 Sherman Way,Reseda,CA,91335,818-881-9828,Los Angeles Unified
Los Angeles,19648407100753,Heights Christian Jr. High The,12900 Bluefield Avenue,La Mirada,CA,90638,562-947-3309,Norwalk-La Mirada Unified
Los Angeles,19644857104680,Heights Christian School/ La Mirada Campus,12200 Oxford Drive,La Mirada,CA,90638,562-902-1779,East Whittier City Elementary
Los Angeles,19647336935159,Heritage Christian School,9825 Woodley Avenue,Northridge,CA,91343,818-894-5742,los angeles unified
Los Angeles,19647336998728,Heritage Christian School,17531 Rinaldi Street,Granada Hills,CA,91344,818-368-7071,los angeles unified
Los Angeles,19650606988406,Hickory Tree School,21720 Madrona Avenue,Torrance,CA,90503,310-533-4830,Torrance Unified
Los Angeles,19648816979827,High Point Academy,1720 Kinneloa Canyon Road,Pasadena,CA,91107,626-798-8989,Pasadena
Los Angeles,19647336934913,Highland Hall Waldorf School,17100 Superior Street,Northridge,CA,91325,818-349-1394,Los Angeles Unified
Los Angeles,19647336142483,Hill Point Montessori Preparatory School,6601 Valley Circle Boulevard,West Hills,CA,91307,818-884-8261,Los Angeles Unified
Los Angeles,19646596934921,Hillside School and Learning Center,4331 Oak Grove Drive,La Canada,CA,91011,818-790-3044,La Canada Unified
Los Angeles,19648817026263,Hillsides Education Center,940 Avenue 64,Pasadena,CA,91105,323-254-2274,Pasadena Unified
Los Angeles,,Hollywood Preschool and Kindergarten,1313 North Edgemont Street,Los Angeles,CA,90027,323-660-7896,Los Angeles Unified
Los Angeles,19647336986400,Hollywood Schoolhouse,1233 North McCadden Place,Los Angeles,CA,90038,323-465-1320,Los Angeles Unified
Los Angeles,19642616962294,Holy Angels Elementary,360 Campus Drive,Arcadia,CA,91007,626-447-6312,Arcadia Unified
Los Angeles,19650296962328,Holy Family,1301 Rollin Street,South Pasadena,CA,91030,626-799-4354,South Pasadena Unified
Los Angeles,19645686962310,Holy Family Elementary,400 South Louise Street,Glendale,CA,91205,818-243-9239,Glendale Unified School District
Los Angeles,19645686934954,Holy Family High School College Predatory,400 East Lomita Avenue,Glendale,CA,91205,818-241-3178,Glendale Unified
Los Angeles,19647256962344,Holy Innocents Elementary,2500 Pacific Avenue,Long Beach,CA,90806,562-424-1018,Long Beach Unified
Los Angeles,19647337072598,Holy Martyrs Armenian Elementary,16617 Parthenia,North Hills,CA,91343,818-892-7991,Los Angeles
Los Angeles,19647336934962,Holy Martyrs Armenian High School–Ferrahian,5300 White Oak Avenue,Encino,CA,91316,818-784-6228,Los Angeles
Los Angeles,19647336962351,Holy Name of Jesus Catholic Elementary,1955 West Jefferson Boulevard,Los Angeles,CA,90018,323-731-2255,Los Angeles Unified School District
Los Angeles,19643296962369,Holy Name of Mary,124 South San Dimas Canyon Road,San Dimas,CA,91773,909-542-0449,Bonita Unified School District
Los Angeles,19645686962377,Holy Redeemer Middle School,2361 Del Mar Road,Montrose,CA,91020,818-541-9005,Glendale Unified
Los Angeles,19647336962385,Holy Spirit Elementary,1418 South Burnside Avenue,Los Angeles,CA,90019,323-933-7775,Los Angeles Unified
Los Angeles,19647336145981,Holy Trinity Academy,2714 St. George Street,Los Angeles,CA,90027,323-661-9200,Los Angeles Unified
Los Angeles,19647336962401,Holy Trinity Elementary,1226 West Santa Cruz Street,San Pedro,CA,90732,310-833-0703,Los Angeles Unified
Los Angeles,19647336962393,Holy Trinity Elementary School,3716 Boyce Avenue,Los Angeles,CA,90039,323-663-2064,Los Angeles Unified
Los Angeles,19646007025273,Hope Chapel Academy,2420 Pacific Coast Highway,Hermosa Beach,CA,90254,310-374-4673,Hermosa Beach City Elementary
Los Angeles,,Hueser Christian Academy,45111 25th Street East Space 1,Lancaster,CA,93535,661-433-2720,Eastside school district
Los Angeles,19647256979850,Huntington Academy,1423 Walnut Avenue,Long Beach,CA,90813,562-591-2508,Long Beach Unified
Los Angeles,19643947087158,ICC Community School,3619 North Garey Avenue,Pomona,CA,91767,909-392-9692,Pomona
Los Angeles,19646837088024,Ilan Ramon Day School,27400 Canwood Street,Agoura,CA,91301,818-707-2365,Las Virgenes
Los Angeles,19647906962443,Immaculate Conception,726 South Shamrock Avenue,Monrovia,CA,91016,626-358-5129,Monrovia Unified
Los Angeles,19647336962435,Immaculate Conception,830 Green Avenue,Los Angeles,CA,90017,213-382-5931,Los Angeles Unified
Los Angeles,19647336934988,Immaculate Heart High and Middle School,5515 Franklin Avenue,Los Angeles,CA,90028,323-461-3651,Los Angeles Unified
Los Angeles,19647336962450,Immaculate Heart of Mary Elementary,1055 North Alexandria Avenue,Los Angeles,CA,90029,323-663-4611,Los Angeles Unified
Los Angeles,19645686962476,Incarnation Elementary,123 West Glenoaks Boulevard,Glendale,CA,91202,818-241-2269,Glendale Unified
Los Angeles,19646347046808,Inglewood Village Childcare Inc,215 South Inglewood Village,Inglewood,CA,90301,310-674-5011,Inglewood Unified
Los Angeles,19650296934152,Institute for the Redesign of Learning Almansor Academy,1955 Fremont Avenue,South Pasadena,CA,91030,323-257-3006,South Pasadena
Los Angeles,19734606146021,Institute of Knowledge,1009 Via Sorella,Diamond Bar,CA,91789,909-595-2401,Walnut Valley Unified School District
Los Angeles,,Into His Glory,6716 Vineland Avenue Apartment 204,North Hollywood,CA,91606,818-277-0645,LAUSD
Los Angeles,19647337103435,Ivie League Christian Preschool,4416 West Slauson Avenue,Los Angeles,CA,90043,323-294-4447,Los Angeles Unified
Los Angeles,,Jacobs Family Homeschool,39708 174th Street East,Palmdale,CA,93591,661-480-5697,Antelope Valley Union High also Palmdale School
Los Angeles,19647336138580,JETS Yeshivah,16601 Rinaldi Street,Granada Hills,CA,91344,818-831-3000,Los Angeles Unified
Los Angeles,19643297066079,Joan Macy School,1350 3rd Street,La Verne,CA,91750,909-596-3173,Bonita Unified School District
Los Angeles,19650606202048,Jubilee Torrance Academy,18015 Prairie Avenue,Torrance,CA,90504,310-542-6961,Torrance Unified
Los Angeles,19648816201057,Judson International,1610 East Elizabeth Street,Pasadena,CA,91104,626-398-2476,Pasadena Unified
Los Angeles,19647336979603,Junior Blind of America,5300 Angeles Vista,Los Angeles,CA,90043,323-295-4555,Los Angeles County Office of Education
Los Angeles,19734376140214,Juniorversity,2400 South Central Avenue,Compton,CA,90220,310-638-3500,Compton Unified
Los Angeles,19647336935027,Junipero Serra High School,14830 South Van Ness Avenue,Gardena,CA,90249,310-324-6675,Los Angeles Unified
Los Angeles,19647336917363,Just Beginning Inc.,1712 West Jefferson,Los Angeles,CA,90018,323-733-8010,Los Angeles Unified
Los Angeles,19645506144026,Justice Elementary School,630 Sefton Avenue,Monterey Park,CA,91755,951-533-7857,Garvey Elementary
Los Angeles,19646346919526,K. Anthony School,8420 South Crenshaw Boulevard,Inglewood,CA,90305,323-758-1187,INGLEWOOD
Los Angeles,19647337094451,Kabbalah Children's Academy,9250 West Olympic Boulevard,Beverly Hills,CA,90212,310-385-1187,Beverly Hills Unified
Los Angeles,19647336983373,Kadima Day School,7011 Shoup Avenue,West Hills,CA,91307,818-346-0849,LAUSD
Los Angeles,,Keane's School,819 North Edinburgh Avenue Number 7,Los Angeles,CA,90046,310-890-4104,Los Angeles Unified
Los Angeles,19734607077316,Kid Junction,20704 San Jose Hills Road,Walnut,CA,91789,909-595-5437,Walnut Valley Unified
Los Angeles,19646347091952,Kids' Castle Child Care Center,745 North La Brea Avenue,Inglewood,CA,90302,310-677-2997,Inglewood Unified
Los Angeles,19647336136329,Kids Preparatory Academy Inc.,2727 South La Brea Avenue,Los Angeles,CA,90016,323-932-0181,Los Angeles Unified
Los Angeles,19647337077597,Kids' World School Inc.,2132 Hyperion Avenue,Los Angeles,CA,90027,323-663-4703,Los Angeles Unified
Los Angeles,19647336145734,Kidsville USA,8464 Corbin Avenue,Northridge,CA,91324,818-886-3508,Los Angeles
Los Angeles,19644516996805,Kirkwood Christian Schools,11115 Pangborn Avenue,Downey,CA,90241,562-904-6911,Downey Unified
Los Angeles,,Koguma Youchien,2341 West 255th Street,Lomita,CA,90717,310-257-8880,Los Angeles Unified
