CDSCode,StatusType,County,District,School,Street,City,Zip,State,Phone,Ext,Website,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1
34674396034326,Active,Sacramento,Sacramento City Unified,William Land Elementary,2120 12th Street,Sacramento,95818-1428,CA,(916) 264-4166,,,38.567273,-121.49621,Ellen,Carlson,ellen-lee@scusd.edu
34674396059273,Active,Sacramento,Sacramento City Unified,Albert Einstein Middle,9325 Mirandy Drive,Sacramento,95826-5224,CA,(916) 228-5800,,,38.548226,-121.35252,Garrett,Kirkland,garrett-kirkland@scusd.edu
34674396059281,Active,Sacramento,Sacramento City Unified,California Middle,1600 Vallejo Way,Sacramento,95818-3837,CA,(916) 264-4550,,,38.552583,-121.49600,Elizabeth,Vigil,elizabeth-vigil@scusd.edu
34674396059307,Active,Sacramento,Sacramento City Unified,Fern Bacon Middle,4140 Cuny Avenue,Sacramento,95823-1911,CA,(916) 433-5000,,,38.504555,-121.45933,Mary,Coronado,mary-coronado@scusd.edu
34674396059315,Active,Sacramento,Sacramento City Unified,Leonardo Da Vinci,4701 Joaquin Way,Sacramento,95822-2120,CA,(916) 277-6496,,,38.531424,-121.49116,Devon,Davis,devon-davis@scusd.edu
34674396059356,Active,Sacramento,Sacramento City Unified,Sam Brannan Middle,5301 Elmer Way,Sacramento,95822-2414,CA,(916) 264-4374,,,38.527962,-121.51720,Al,Rogers,al-rogers@scusd.edu
34674396059364,Active,Sacramento,Sacramento City Unified,Will C. Wood Middle,6201 Lemon Hill Avenue,Sacramento,95824-3225,CA,(916) 382-5900,,,38.515996,-121.43215,Tuan,Duong,tuan-duong@scusd.edu
34674396061832,Active,Sacramento,Sacramento City Unified,Kit Carson Middle,5301 N Street,Sacramento,95819-4126,CA,(916) 277-6750,,,38.560438,-121.44095,Charles,Watters,charlie-watters@scusd.edu
34674396066690,Active,Sacramento,Sacramento City Unified,Sutter Middle,3150 I Street,Sacramento,95816-4422,CA,(916) 264-4150,,,38.574079,-121.46387,Dave,Rodriguez,dave-rodriguez@scusd.edu
34674396071336,Active,Sacramento,Sacramento City Unified,Susan B. Anthony Elementary,7864 Detroit Boulevard,Sacramento,95832-1500,CA,(916) 433-5353,,,38.471743,-121.46650,Lee,Yang,yangl@scusd.edu
34674396096150,Active,Sacramento,Sacramento City Unified,James Marshall Elementary,9525 Goethe Road,Sacramento,95827-3202,CA,(916) 228-5860,,,38.554730,-121.34279,Marla,Van Laningham,marla-vanlaningham@scusd.edu
34674396096168,Active,Sacramento,Sacramento City Unified,Genevieve Didion,6490 Harmon Drive,Sacramento,95831,CA,(916) 433-5039,,,38.508492,-121.54986,Norman,Policar,normpo@scusd.edu
34674396096655,Closed,Sacramento,Sacramento City Unified,Washington Elementary,520 18th Street,Sacramento,95814-1007,CA,,,,38.582317,-121.48042,,,
34674473430402,Closed,Sacramento,San Juan Unified,Sierra Nueva High (Continuation),1400 Bell Street,Sacramento,95825-2303,CA,,,,38.591553,-121.40948,,,
34674473432358,Closed,Sacramento,San Juan Unified,El Escalon Continuation High,3700 Marconi Avenue,Sacramento,95821,CA,,,,,,,,
34674473434891,Closed,Sacramento,San Juan Unified,La Sierra High,3738 Walnut Avenue,Carmichael,95608,CA,,,,,,,,
34674396097083,Active,Sacramento,Sacramento City Unified,Golden Empire Elementary,9045 Canberra Drive,Sacramento,95826-4414,CA,(916) 228-5890,,,38.542324,-121.36625,Irene,Eister,ireneei@scusd.edu
34674396099808,Active,Sacramento,Sacramento City Unified,Abraham Lincoln Elementary,3324 Glenmoor Drive,Sacramento,95827-2436,CA,(916) 228-5830,,,38.571603,-121.31273,Laura,Butler,laura-butler@scusd.edu
34674396102107,Closed,Sacramento,Sacramento City Unified,Newcomer Center (Elem),5201 Strawberry Lane,Sacramento,95820-4815,CA,,,,,,,,
34674396103790,Merged,Sacramento,Sacramento City Unified,Fern Bacon Basic,4140 Cuny Avenue,Sacramento,95823,CA,,,,,,,,
34674396107726,Closed,Sacramento,Sacramento City Unified,Lisbon Elementary,7555 South Land Park Drive,Sacramento,95831-3863,CA,,,,38.488521,-121.52499,,,
34674396110662,Active,Sacramento,Sacramento City Unified,Father Keith B. Kenny,3525 Martin Luther King Junior Boulevard,Sacramento,95817-3654,CA,(916) 277-6500,104,,38.541729,-121.46472,Gail,Johnson,gail-johnson@scusd.edu
34674396085104,Closed,Sacramento,Sacramento City Unified,Bowling Green O.H. Center,4211 Turnbridge Drive,Sacramento,95823,CA,,,,,,,,
34674396033799,Active,Sacramento,Sacramento City Unified,Bowling Green Elementary,4211 Turnbridge Drive,Sacramento,95823-1999,CA,(916) 433-5426,,,38.501718,-121.45798,Susan,Gibson,susan-gibson@scusd.edu
34674393434610,Closed,Sacramento,Sacramento City Unified,Argonaut Adult School,,,,,,,,,,,,
34674396034102,Closed,Sacramento,Sacramento City Unified,Lincoln Elem (Defunct),,,,,,,,,,,,
34674396034318,Closed,Sacramento,Sacramento City Unified,Washington (S.E.),,,,,,,,,,,,
34674473430097,Active,Sacramento,San Juan Unified,La Entrada Continuation High,5320 Hemlock Street,Sacramento,95841-2703,CA,(916) 971-7590,,,38.664679,-121.34123,Tony,Oddo,toddo@sanjuan.edu
34674473430139,Closed,Sacramento,San Juan Unified,Adult Education Evening Program,PO Box 477,Carmichael,95609-0477,CA,,,,,,,,
34674473430204,Closed,Sacramento,San Juan Unified,Sierra Vista High (Cont.),1400 Bell Street,Sacramento,95825-2303,CA,,,,,,,,
34674473430212,Closed,Sacramento,San Juan Unified,Rio del Sol Continuation High,4540 American River Drive,Sacramento,95864-6104,CA,,,,,,,,
34674473430220,Closed,Sacramento,San Juan Unified,Los Amigos Continuation High,7551 Greenback Lane,Citrus Heights,95610-5614,CA,,,,,,,,
34674473430238,Active,Sacramento,San Juan Unified,Via Del Campo Continuation High,5320 Hemlock Street,Sacramento,95841,CA,(916) 971-5291,,,38.664679,-121.34123,Jose,Reyes,joreyes@sanjuan.edu
34674473430279,Closed,Sacramento,San Juan Unified,Vista Bonita (Cont.),8301 Madison Avenue,Fair Oaks,95628-3823,CA,,,,,,,,
34674473430287,Closed,Sacramento,San Juan Unified,Casa Viva Continuation High,9151 Oak Avenue,Orangevale,95662-2730,CA,,,,,,,,
34674473430303,Closed,Sacramento,San Juan Unified,Loma Vista (Cont.),4000 Edison Avenue,Sacramento,95821-2825,CA,,,,,,,,
34674473430295,Active,Sacramento,San Juan Unified,Palos Verde Continuation,5320 Hemlock Drive,Sacramento,95841,CA,(916) 971-5291,,,38.664679,-121.34123,Jose,Reyes,joreyes@sanjuan.edu
34674473430386,Active,Sacramento,San Juan Unified,El Sereno Alternative Education,10700 Fair Oaks Boulevard,Fair Oaks,95628-7213,CA,(916) 971-5060,,,38.680190,-121.28685,Mia,Funk,mia.funk@sanjuan.edu
34674473430600,Active,Sacramento,San Juan Unified,Sunrise Tech Center,7322 Sunrise Boulevard,Citrus Heights,95610-3000,CA,(916) 971-7654,,,,,Mia,Funk,mia.funk@sanjuan.edu
34674473431111,Active,Sacramento,San Juan Unified,Casa Roble Fundamental High,9151 Oak Avenue,Orangevale,95662-2730,CA,(916) 971-5452,,,38.700209,-121.21322,Michele,Lorenzo,mlorenzo@sanjuan.edu
34674473432317,Active,Sacramento,San Juan Unified,El Camino Fundamental High,4300 El Camino Avenue,Sacramento,95821-6702,CA,(916) 971-7430,,,38.610163,-121.36431,Shelley,Frieri,shelley.frieri@sanjuan.edu
34674473434958,Closed,Sacramento,San Juan Unified,La Vista Continuation High,5843 Almond Avenue,Orangevale,95662,CA,,,,,,,,
34674473435351,Closed,Sacramento,San Juan Unified,Marconi Technical Center,1400 Bell Street,Sacramento,95825,CA,,,,,,,,
34674473435930,Active,Sacramento,San Juan Unified,Mira Loma High,4000 Edison Avenue,Sacramento,95821-2825,CA,(916) 971-7465,,,38.633246,-121.37106,Rich,Nichols,rnichols@sanjuan.edu
34674473436714,Active,Sacramento,San Juan Unified,Rio Americano High,4540 American River Drive,Sacramento,95864-6104,CA,(916) 971-7494,,,38.578495,-121.35510,Brian,Ginter,brian.ginter@sanjuan.edu
34674473437290,Closed,Sacramento,San Juan Unified,Winterstein Adult Center,900 Morse Avenue,Sacramento,95864-7710,CA,,,,,,,,
34674473438504,Active,Sacramento,San Juan Unified,San Juan High,7551 Greenback Lane,Citrus Heights,95610-5614,CA,(916) 971-5150,,,38.680190,-121.28685,Gloria,Ervin,gloria.ervin@sanjuan.edu
34674476034342,Active,Sacramento,San Juan Unified,Arcade Fundamental Middle,3500 Edison Avenue,Sacramento,95821-2710,CA,(916) 971-7300,,,38.633462,-121.38217,Steve,Hunt,shunt@sanjuan.edu
34674476034359,Active,Sacramento,San Juan Unified,Arden Middle,1640 Watt Avenue,Sacramento,95864-2964,CA,(916) 971-7306,,,38.594518,-121.38286,Jeff,Banks,jbanks@sanjuan.edu
34674476034367,Active,Sacramento,San Juan Unified,Arlington Heights Elementary,6401 Trenton Way,Citrus Heights,95621-4821,CA,(916) 971-5234,,,38.686387,-121.31527,Tanya,Reaves,tanya.reaves@sanjuan.edu
34674476034383,Active,Sacramento,San Juan Unified,Cameron Ranch Elementary,4333 Hackberry Lane,Carmichael,95608-1329,CA,(916) 575-2302,,,38.643242,-121.33212,Mirna,Pelayo,mpelayo@sanjuan.edu
34674476034391,Active,Sacramento,San Juan Unified,Carmichael Elementary,6141 Sutter Avenue,Carmichael,95608-2799,CA,(916) 971-5727,,,38.633231,-121.32219,Brandei,Smith,brandei.smith@sanjuan.edu
34674476034417,Closed,Sacramento,San Juan Unified,Central Elementary,6545 Beech Avenue,Orangevale,95662,CA,,,,,,,,
01740210000000,Active,Alameda,Mission Valley ROC/P,,5019 Stevenson Blvd,Fremont,94538,CA,(510) 657-1865,,www.mvrop.org,,,Pete,Murchison,pmurchison@mvrop.org
01740390000000,Active,Alameda,East Bay Regional Occupational Agency (ROP),,1025 Second Avenue,Oakland,94606,CA,(510) 337-7093,,,,,,,
34674476034425,Active,Sacramento,San Juan Unified,Winston Churchill Middle,4900 Whitney Avenue,Carmichael,95608-2937,CA,(916) 971-7324,,,38.627121,-121.34979,Michael,Dolan,mdolan@sanjuan.edu
34674476034441,Active,Sacramento,San Juan Unified,Cottage Elementary,2221 Morse Avenue,Sacramento,95825-7829,CA,(916) 575-2306,,,38.605567,-121.39221,Meredith,Ryan,mryan@sanjuan.edu
34674476034458,Active,Sacramento,San Juan Unified,James R. Cowan Fundamental Elementary,3350 Becerra Way,Sacramento,95821-3706,CA,(916) 575-2312,,,38.626321,-121.37248,Mary,Decker,mary.decker@sanjuan.edu
34674476034466,Active,Sacramento,San Juan Unified,Coyle Avenue Elementary,6330 Coyle Avenue,Carmichael,95608-0439,CA,(916) 867-2012,,,38.668054,-121.31669,Donna,Kenfield,dkenfield@sanjuan.edu
34674476034474,Closed,Sacramento,San Juan Unified,Creekside Elementary,2641 Kent Drive,Sacramento,95821-6054,CA,,,,,,,,
34674476034482,Active,Sacramento,San Juan Unified,Del Dayo Elementary,1301 McClaren Drive,Carmichael,95608-6119,CA,(916) 575-2323,,,38.589062,-121.33854,Thomas,Harp,tharp@sanjuan.edu
34674476034490,Active,Sacramento,San Juan Unified,Del Paso Manor Elementary,2700 Maryal Drive,Sacramento,95821-6621,CA,(916) 575-2330,,,38.613667,-121.36914,Shana,Walters,shana.walters@sanjuan.edu
34674476034516,Active,Sacramento,San Juan Unified,Harry Dewey Fundamental Elementary,7025 Falcon Road,Fair Oaks,95628-4515,CA,(916) 867-2020,,,38.653948,-121.30098,Holly,Cybulski,hcybulski@sanjuan.edu
34674476034524,Active,Sacramento,San Juan Unified,Dyer-Kelly Elementary,2236 Edison Avenue,Sacramento,95821-1607,CA,(916) 566-2150,,,38.622022,-121.41165,Edwin,Manson,edwin.manson@sanjuan.edu
34674476034532,Closed,Sacramento,San Juan Unified,Eastern Elem.,1150 Eastern Avenue,Sacramento,95825,CA,,,,,,,,
34674476034540,Active,Sacramento,San Juan Unified,Thomas Edison Language Institute,2950 Hurley Way,Sacramento,95864-3760,CA,(916) 575-2342,,,38.591772,-121.38918,Todd,Lindeman,tlindeman@sanjuan.edu
34674476034557,Closed,Sacramento,San Juan Unified,Fair Oaks Elementary,10700 Fair Oaks Boulevard,Fair Oaks,95628-7213,CA,,,,,,,,
34674476034565,Closed,Sacramento,San Juan Unified,Garfield Elementary,3700 Garfield Avenue,Carmichael,95608-3042,CA,,,,38.632014,-121.33669,,,
34674476034573,Active,Sacramento,San Juan Unified,Grand Oaks Elementary,7901 Rosswood Drive,Citrus Heights,95621-1246,CA,(916) 971-5208,,,38.710634,-121.30041,Phyllis,Caesar,pcaesar@sanjuan.edu
34674476034599,Active,Sacramento,San Juan Unified,Greer Elementary,2301 Hurley Way,Sacramento,95825-3516,CA,(916) 566-2157,,,38.588877,-121.41064,Michelle,Ramirez,michelle.ramirez@sanjuan.edu
34674476034607,Closed,Sacramento,San Juan Unified,Hemlock Street Elem.,5320 Hemlock Street,Sacramento,95841,CA,,,,,,,,
34674476034615,Closed,Sacramento,San Juan Unified,John Holst Elementary,4501 Bannister Avenue,Fair Oaks,95628-5703,CA,,,,,,,,
34674476034649,Closed,Sacramento,San Juan Unified,Kenneth Avenue Elementary,4825 Kenneth Avenue,Carmichael,95608,CA,,,,,,,,
34674476034698,Closed,Sacramento,San Juan Unified,Littlejohn (Leighton) Elementary,6838 Kermit Lane,Fair Oaks,95628-3048,CA,,,,,,,,
34674476034623,Active,Sacramento,San Juan Unified,Howe Avenue Elementary,2404 Howe Avenue,Sacramento,95825-0132,CA,(916) 566-2165,,,38.608164,-121.41406,Yvonne,Wright,yvonne.wright@sanjuan.edu
34674476034631,Active,Sacramento,San Juan Unified,Thomas Kelly Elementary,6301 Moraga Drive,Carmichael,95608-1128,CA,(916) 867-2041,,,38.651133,-121.31836,Melissa,Bassanelli,mbassanelli@sanjuan.edu
34674476034656,Active,Sacramento,San Juan Unified,Kingswood Elementary,5700 Primrose Drive,Citrus Heights,95610-7543,CA,(916) 867-2046,,,38.669708,-121.27785,Alicia,Ausara,alicia.ausara@sanjuan.edu
34674476034672,Active,Sacramento,San Juan Unified,Earl Legette Elementary,4623 Kenneth Avenue,Fair Oaks,95628-6242,CA,(916) 867-2054,,,38.649972,-121.24416,Nancy,Miller,nancy.miller@sanjuan.edu
34674476034680,Active,Sacramento,San Juan Unified,Lichen K-8,8319 Lichen Drive,Citrus Heights,95621-1123,CA,(916) 971-5237,,,38.716939,-121.30560,Alicia,Legarda,alicia.legarda@sanjuan.edu
34674476034706,Active,Sacramento,San Juan Unified,Mariemont Elementary,1401 Corta Way,Sacramento,95864-3055,CA,(916) 575-2360,,,38.590528,-121.36799,Elizabeth,Wahl,ewahl@sanjuan.edu
34674476034714,Active,Sacramento,San Juan Unified,Mariposa Avenue Elementary,7940 Mariposa Avenue,Citrus Heights,95610-1513,CA,(916) 971-5212,,,38.710381,-121.28115,Candice,Flint,candice.flint@sanjuan.edu
34674476034730,Active,Sacramento,San Juan Unified,Mission Avenue Open Elementary,2925 Mission Avenue,Carmichael,95608-3511,CA,(916) 575-2362,,,38.618749,-121.35646,Amberlee,Townsend-Snider,atownsend@sanjuan.edu
34674476034748,Closed,Sacramento,San Juan Unified,Billy Mitchell Elementary,4425 Laurelwood Way,Sacramento,95864-0881,CA,,,,,,,,
34674476034755,Active,Sacramento,San Juan Unified,Northridge Elementary,5150 Cocoa Palm Way,Fair Oaks,95628-3798,CA,(916) 867-2066,,,38.660372,-121.25861,Michele,Flagler,mflagler@sanjuan.edu
34674476034763,Closed,Sacramento,San Juan Unified,Sunrise Elementary,7322 Sunrise Boulevard,Citrus Heights,95610-3000,CA,,,,,,,,
34674476034771,Active,Sacramento,San Juan Unified,Oakview Community Elementary,7229 Beech Avenue,Orangevale,95662-2420,CA,(916) 986-2215,,,38.697364,-121.23008,Richard,Sullivan,richard.sullivan@sanjuan.edu
34674476034789,Closed,Sacramento,San Juan Unified,Orange Grove Elementary,4640 Orange Grove Avenue,Sacramento,95841,CA,,,,,,,,
34674476034797,Active,Sacramento,San Juan Unified,Orangevale Open K-8,5630 Illinois Avenue,Fair Oaks,95628,CA,(916) 867-2067,,,38.668544,-121.23357,Carol,Stephens-Klipp,carol.stephens-klipp@sanjuan.edu
34674476034805,Closed,Sacramento,San Juan Unified,Palisades Elementary,9601 Lake Natoma Drive,Orangevale,95662-5022,CA,,,,,,,,
34674476034813,Active,Sacramento,San Juan Unified,Pasadena Avenue Elementary,4330 Pasadena Avenue,Sacramento,95821-2919,CA,(916) 575-2373,,,38.637275,-121.36317,Teresa,Cummings,teresa.cummings@sanjuan.edu
34739736104517,Closed,Sacramento,Center Joint Unified,Center Elementary,8725 Watt Avenue,Elverta,95626,CA,,,,,,,,
01740050000000,Active,Alameda,Tri-Valley ROP,,1040 Florence Road,Livermore,94550-5543,CA,(925) 455-4800,,,,,Julie,Duncan,jduncan@tvrop.org
01740130000000,Active,Alameda,Eden Area ROP,,26316 Hesperian Boulevard,Hayward,94545,CA,,,,,,,,
34674476034821,Active,Sacramento,San Juan Unified,Louis Pasteur Fundamental Middle,8935 Elm Avenue,Orangevale,95662-3522,CA,(916) 971-7891,,,38.693019,-121.22326,Janet,Deal,jdeal@sanjuan.edu
34674476034847,Active,Sacramento,San Juan Unified,Pershing Elementary,9010 Pershing Avenue,Orangevale,95662-4739,CA,(916) 867-2076,,,38.670686,-121.22129,Brooke,Thomas,bthomas@sanjuan.edu
34674476034854,Closed,Sacramento,San Juan Unified,Pope Avenue Elementary,3001 Pope Avenue,Sacramento,95821,CA,,,,,,,,
34674476034870,Active,Sacramento,San Juan Unified,Will Rogers Middle,4924 Dewey Drive,Fair Oaks,95628-4403,CA,(916) 971-7889,,,38.653301,-121.30647,Gabriel,Cooper,gcooper@sanjuan.edu
34674476034888,Closed,Sacramento,San Juan Unified,Jonas Salk High-Tech Academy,2950 Hurley Way,Sacramento,95864-3760,CA,,,,38.588638,-121.39472,,,
34674476034896,Active,Sacramento,San Juan Unified,Albert Schweitzer Elementary,4350 Glenridge Drive,Carmichael,95608-2043,CA,(916) 867-2094,,,38.643583,-121.30058,Matt,English,matt.english@sanjuan.edu
34674476034904,Active,Sacramento,San Juan Unified,Sierra Oaks K-8,171 Mills Road,Sacramento,95864-5647,CA,(916) 575-2390,,,38.570644,-121.39588,Sandy,Butorac,sbutorac@sanjuan.edu
34674476034912,Active,Sacramento,San Juan Unified,Skycrest Elementary,5641 Mariposa Avenue,Citrus Heights,95610-7441,CA,(916) 867-2098,,,38.668851,-121.28463,Sandy,Rangel,srangel@sanjuan.edu
34674476034920,Active,Sacramento,San Juan Unified,Starr King K-8,4848 Cottage Way,Carmichael,95608-5612,CA,(916) 971-7320,,,38.600987,-121.35294,Debbie,Kraus,dkraus@sanjuan.edu
34674476034946,Active,Sacramento,San Juan Unified,Sylvan Middle,7137 Auburn Boulevard,Citrus Heights,95610-3824,CA,(916) 971-7873,,,38.696230,-121.29032,Kristan,Schnepp,kschnepp@sanjuan.edu
34674476034953,Active,Sacramento,San Juan Unified,Twin Lakes Elementary,5515 Main Avenue,Orangevale,95662-5314,CA,(916) 986-2243,,,38.667069,-121.20253,Jim,Walters,jim.walters@sanjuan.edu
34674476034961,Active,Sacramento,San Juan Unified,Whitney Avenue Elementary,4248 Whitney Avenue,Sacramento,95821-3253,CA,(916) 575-2407,,,38.628446,-121.36555,Vincent,Arias,vincent.arias@sanjuan.edu
34674476034979,Closed,Sacramento,San Juan Unified,Winterstein Elementary,900 Morse Avenue,Sacramento,95825,CA,,,,,,,,
34674476034987,Closed,Sacramento,San Juan Unified,Wright Elementary,2331 Street Marks Way,Sacramento,95825,CA,,,,,,,,
34674476068670,Active,Sacramento,San Juan Unified,Cambridge Heights Elementary,5555 Fleetwood Drive,Citrus Heights,95621-7313,CA,(916) 867-2000,,,38.666846,-121.29439,Damon,Smith,damonsmith@sanjuan.edu
34674476095178,Closed,Sacramento,San Juan Unified,Thomas Coleman Elementary,6545 Beech Avenue,Orangevale,95662-4011,CA,,,,,,,,
34674476034722,Merged,Sacramento,San Juan Unified,San Juan Preschool,5309 Kenneth Avenue,Carmichael,95608,CA,,,,,,,,
34674476915698,Closed,Sacramento,San Juan Unified,Happy House of Carmichael,7231 Lincoln Avenue,Carmichael,95608,CA,,,,,,,,
34674476034995,Closed,Sacramento,San Juan Unified,Wyda Way Elem (Defunct),,,,,,,,,,,,
34674476069751,Merged,Sacramento,San Juan Unified,Preschool,,,,,,,,,,,,
34674476097810,Active,Sacramento,San Juan Unified,Woodside K-8,8248 Villa Oak Drive,Citrus Heights,95610-2616,CA,(916) 971-5216,,,38.705779,-121.25432,Greg,Barge,gbarge@sanjuan.edu
34674476103816,Active,Sacramento,San Juan Unified,Trajan Elementary,6601 Trajan Drive,Orangevale,95662-3220,CA,(916) 971-5200,,,38.686340,-121.24965,Cris,Petroni,cpetroni@sanjuan.edu
34674476105910,Active,Sacramento,San Juan Unified,Carriage Drive Elementary,7519 Carriage Drive,Citrus Heights,95621-2000,CA,(916) 971-5241,,,38.702347,-121.29497,Lynn,Brown,lybrown@sanjuan.edu
34674476105928,Active,Sacramento,San Juan Unified,Ottomon Way Elementary,9460 Ottomon Way,Orangevale,95662-2845,CA,(916) 986-2228,,,38.697463,-121.19969,Hilda,Fernandez,hfernandez@sanjuan.edu
34674476108476,Closed,Sacramento,San Juan Unified,Starr King,4848 Cottage Way,Carmichael,95608-5612,CA,,,,38.600987,-121.35294,,,
34674476111363,Active,Sacramento,San Juan Unified,Gold River Discovery Center K-8,2200 Roaring Camp Drive,Gold River,95670-7677,CA,(916) 867-2109,,,38.627480,-121.24759,Rick,Boster,rick.boster@sanjuan.edu
34674476034664,Active,Sacramento,San Juan Unified,Laurel Ruff Center,5325 Garfield Avenue,Sacramento,95841-3103,CA,(916) 971-7586,,,38.663789,-121.33675,Julia,Arreguin,jarreguin@sanjuan.edu
34674476034938,Active,Sacramento,San Juan Unified,Ralph Richardson Center,4848 Cottage Way,Carmichael,95608-5612,CA,(916) 971-7411,,,38.600987,-121.35294,Beth,Vonstriver,bvonstriver@sanjuan.edu
34674476034508,Active,Sacramento,San Juan Unified,Mary Deterding Elementary,6000 Stanley Avenue,Carmichael,95608-4032,CA,(916) 575-2338,,,38.621411,-121.32491,Timmi,Elcock,telcock@sanjuan.edu
34674473430105,Active,Sacramento,San Juan Unified,Orange Grove Adult Education,4640 Orange Grove,Sacramento,95841-4207,CA,(916) 971-7399,,,,,Paige,Ashley,pashley@sanjuan.edu
34739733430378,Active,Sacramento,Center Joint Unified,Center High,3111 Center Court Lane,Antelope,95843-9111,CA,(916) 338-6420,,,38.720291,-121.38979,Mike,Jordan,mikejordan@centerusd.org
34739733430451,Active,Sacramento,Center Joint Unified,McClellan High (Continuation),8725 Watt Avenue,Antelope,95843-9116,CA,(916) 338-6440,,,38.728088,-121.39349,David,DeArcos,ddearcos@centerusd.org
34739736032916,Closed,Sacramento,Center Joint Unified,Center Junior High,3243 Center Court Lane,Antelope,95843-9111,CA,,,,,,,,
34739736032924,Active,Sacramento,Center Joint Unified,Cyril Spinelli Elementary,3401 Scotland Drive,Antelope,95843-2226,CA,(916) 338-6490,,,38.707584,-121.38765,Kristen,Schmieder,kriss@centerusd.org
34739736107734,Active,Sacramento,Center Joint Unified,Oak Hill Elementary,3909 North Loop Boulevard,Antelope,95843-4539,CA,(916) 338-6460,,,38.720876,-121.37267,Patricia,Spore,pspore@centerusd.org
01741870000000,Closed,Alameda,Hayward-Newhaven,,26316 Hesperian Boulevard,Hayward,94541,CA,,,,,,,,
01750930000000,Active,Alameda,Dublin Unified,,7471 Larkdale Avenue,Dublin,94568-1500,CA,(925) 828-2551,,www.dublinusd.org,37.5729400,-121.92855,Stephen,Hanke,hankesteve@dublinusd.org
01751010000000,Active,Alameda,Pleasanton Unified,,4665 Bernal Avenue,Pleasanton,94566-7498,CA,(925) 462-5500,,www.pleasantonusd.net,37.5144900,-121.89287,Parvin,Ahmadi,pahmadi@pleasantonusd.net
01751190000000,Active,Alameda,Sunol Glen Unified,,11601 Main Street,Sunol,94586-9519,CA,(925) 862-2026,,www.sunol.k12.ca.us,37.4506299,-121.88543,Molleen,Barnes,mbarnes@sunol.k12.ca.us
34739736108948,Active,Sacramento,Center Joint Unified,North Country Elementary,3901 Little Rock Drive,Antelope,95843-6231,CA,(916) 338-6480,,,38.705974,-121.37393,Kathy,Lord,klord@centerusd.org
34748233435351,Closed,Sacramento,Marconi Technical Center (ROP/C),Marconi Technical Center,1400 Bell Street,Sacramento,95825,CA,,,,,,,,
34321773430055,Merged,Sacramento,Northern Reception Center Clin,Northern Reception Center-Clinic,,,,,,,,,,,,
34765056032932,Active,Sacramento,Twin Rivers Unified,Del Paso Heights Elementary,590 Morey Avenue,Sacramento,95838-3332,CA,(916) 566-3425,,,38.634767,-121.45286,Leo,Alvarez,leo.alvarez@twinriversusd.org
34765056032957,Active,Sacramento,Twin Rivers Unified,Garden Valley Elementary,3601 Larchwood Drive,Sacramento,95834-2212,CA,(916) 566-3460,,,38.633477,-121.47663,Michele,Williams,michele.williams@twinriversusd.org
34765056032965,Active,Sacramento,Twin Rivers Unified,Morey Avenue Early Childhood Development,155 Morey Avenue,Sacramento,95838-3219,CA,(916) 566-3485,,,38.634816,-121.46514,Tabitha,Thompson,tabitha.thompson@twinriversusd.org
34765056032973,Closed,Sacramento,Twin Rivers Unified,North Avenue Elementary,1281 North Avenue,Sacramento,95838-3661,CA,,,,38.640228,-121.43672,,,
34673896033328,Merged,Sacramento,Natomas Union Elementary,Natomas Junior High,3700 del Paso Road,Sacramento,95834,CA,,,,,,,,
01611430000000,Active,Alameda,Berkeley Unified,,2020 Bonar Street,Berkeley,94702,CA,(510) 644-8764,,www.berkeleyschools.net,37.7266600,-122.27329,Donald,Evans,donaldevans@berkeley.net
01611920000000,Active,Alameda,Hayward Unified,,24411 Amador Street,Hayward,94544-1301,CA,(510) 784-2600,,www.husd.k12.ca.us,37.5139700,-122.09325,Stan,Dobbs,sdobbs@husd.k12.ca.us
01612000000000,Active,Alameda,Livermore Valley Joint Unified,,685 East Jack London Boulevard,Livermore,94551-1899,CA,(925) 606-3200,,www.livermoreschools.com,37.5456700,-121.79022,Kelly,Bowers,kbowers@lvjusd.k12.ca.us
01612180000000,Active,Alameda,Mountain House Elementary,,3950 Mountain House Road,Byron,94514-1920,CA,(209) 835-2283,,www.mtnhouse.k12.ca.us,37.6445999,-121.57719,Marianne,Griffith,marijam@wildblue.net
01612260000000,Merged,Alameda,Murray Elementary,,7416 Brighton Drive,Dublin,94568,CA,,,,,,,,
01612340000000,Active,Alameda,Newark Unified,,5715 Musick Avenue,Newark,94560-0385,CA,(510) 818-4112,,www.nusd.k12.ca.us,37.3995600,-122.03161,Dave,Marken,dmarken@nusd.k12.ca.us
01612420000000,Active,Alameda,New Haven Unified,,34200 Alvarado-Niles Road,Union City,94587-4402,CA,(510) 471-1100,,www.nhusd.k12.ca.us,37.4452300,-122.02520,Akur,Varadarajan,avaradarajan@nhusd.k12.ca.us
01612590000000,Active,Alameda,Oakland Unified,,"1000 Broadway, Suite 680",Oakland,94607,CA,(510) 434-7772,,www.ousd.k12.ca.us,37.6532500,-122.25951,Gary,Yee,gary.yee@ousd.k12.ca.us
01612750000000,Active,Alameda,Piedmont City Unified,,760 Magnolia Avenue,Piedmont,94611-4047,CA,(510) 594-2600,,www.piedmont.k12.ca.us,37.6798300,-122.23372,Constance,Hubbard,chubbard@piedmont.k12.ca.us
01612830000000,Merged,Alameda,Pleasanton Joint Elementary,,4665 Bernal Avenue,Pleasanton,94566,CA,,,,,,,,
